,North America,,"36,453,244","+6,115","830,579",+616,"28,198,785","+4,055","7,423,880","15,950",,,,,,North America,,,,
,South America,,"21,956,794","+1,076","577,701",+19,"19,677,486","+1,025","1,701,607","21,618",,,,,,South America,,,,
,Asia,,"30,071,247","+14,633","440,142",+159,"27,068,100","+9,981","2,563,005","27,196",,,,,,Asia,,,,
,Europe,,"40,855,991","+35,854","937,594",+855,"28,979,600","+28,755","10,938,797","32,879",,,,,,Europe,,,,
,Africa,,"4,336,627",,"114,877",,"3,885,966",,"335,784","3,240",,,,,,Africa,,,,
,Oceania,,"58,861",+35,"1,151",+1,"34,640",+12,"23,070",5,,,,,,Australia/Oceania,,,,
,,,721,,15,,706,,0,0,,,,,,,,,,
World,"133,733,485","+57,713","2,902,059","+1,650","107,845,283","+43,828","22,986,143","100,888","17,157",372.3,,,,All,,,,
Jamaica,"41,400",,631 ,,"18,444",,"22,325",33,"13,934",212,"294,789","99,220","2,971,075 ",North America,"724,70910"
Uganda,"41,046",,337 ,,"40,685",,24,,876,7,"955,609","20,404","46,835,531 ",Africa,"1,141138,97849"
Senegal,"39,164",,"1,070 ",,"37,888",,206,25,"2,293",63,"448,014","26,232","17,079,046 ",Africa,"43615,96238"
Zimbabwe,"36,984",,"1,531 ",,"34,803",,650,3,"2,461",102,"390,833","26,007","15,028,105 ",Africa,"4069,81638"
Malawi,"33,718",,"1,125 ",,"30,996",,"1,597",23,"1,729",58,"221,473","11,354","19,505,475 ",Africa,"57817,33888"
Thailand,"30,310",+405,95 ,,"28,101",+32,"2,114",1,433,1,"8,124,896","116,179","69,934,331 ",Asia,"2,307736,1519"
Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,220","44,627,885 ",Africa,"1,48221,633192"
Malta,"29,408",,400 ,,"28,463",,545,,"66,467",904,"824,234","1,862,907","442,445 ",Europe,"151,1061"
Australia,"29,382",+5,909 ,,"26,326",+2,"2,147",,"1,142",35,"15,976,923","621,041","25,726,041 ",Australia/Oceania,"87628,3012"
DRC,"28,410",,745 ,,"25,841",,"1,824",,310,8,"142,542","1,556","91,625,594 ",Africa,"3,225122,987643"
Madagascar,"26,127",,469 ,,"22,947",,"2,711",246,925,17,"148,563","5,262","28,231,842 ",Africa,"1,08160,196190"
Maldives,"25,191",,67 ,,"22,014",,"3,110",88,"45,986",122,"659,127","1,203,219","547,803 ",Asia,"228,1761"
Rwanda,"23,041",,314 ,,"20,835",,"1,892",5,"1,746",24,"1,194,484","90,517","13,196,240 ",Africa,"57342,02611"
Angola,"23,010",,547 ,,"21,545",,918,13,684,16,"430,968","12,811","33,641,078 ",Africa,"1,46261,50178"
Guinea,"20,554",,131 ,,"18,302",,"2,121",24,"1,534",10,"410,711","30,643","13,403,249 ",Africa,"652102,31533"
Gabon,"20,265",,124 ,,"17,227",,"2,914",25,"8,944",55,"654,156","288,725","2,265,671 ",Africa,"11218,2723"
Syria,"19,761",,"1,342 ",,"13,549",,"4,870",,"1,109",75,,,"17,823,842 ",Asia,"90213,282"
Mayotte,"19,408",,167 ,,"2,964",,"16,277",8,"69,858",601,"159,240","573,179","277,819 ",Africa,"141,6642"
French Polynesia,"18,643",,141 ,,"4,842",,"13,660",2,"66,074",500,"26,355","93,407","282,152 ",Australia/Oceania,"152,00111"
Cabo Verde,"18,214",,175 ,,"16,811",,"1,228",23,"32,490",312,"131,248","234,119","560,604 ",Africa,"313,2034"
Mauritania,"17,974",,450 ,,"17,266",,258,14,"3,790",95,"212,268","44,759","4,742,484 ",Africa,"26410,53922"
